,SMILES,Name,IC50 (nM)
41,Fc1cc(Cl)cc(CN(C(=O)CC2NC(=O)c3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 50",30840.0
42,NC(=O)c1ccc(cc1)N(Cc1cc(F)cc(F)c1)C(=O)Cc1cncc2ccccc12,"US20240293380, Compound 51",100.0
43,Fc1cc(Cl)cc(CN(C(=O)Cc2cccnn2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 52",389.0
44,COc1ccc(F)cc1CN(C(=O)Cc1cncc2ccccc12)c1ccc(cc1)-c1c[nH]cn1,"US20240293380, Compound 53",179.0
45,COc1cc(F)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 54",90.0
46,Fc1cc(Cl)cc(CN(C(=O)Cc2cnccn2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 55",2038.0
47,Fc1cc(F)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2=CCNC2)c1,"US20240293380, Compound 56",139.0
48,Fc1cc(Cl)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2=CCNC2)c1,"US20240293380, Compound 57",81.0
49,Fc1cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)ccc1Cl,"US20240293380, Compound 58",1087.0
50,Fc1cc(Cl)cc(CN(C(=O)CC2C(=O)Nc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 59",6235.0
51,Fc1cncc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2CNC2)c1,"US20240293380, Compound 60",193.0
52,Fc1cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)cc(OC(F)(F)F)c1,"US20240293380, Compound 61",113.0
53,Fc1cc(F)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2CNC2)c1,"US20240293380, Compound 62",69.0
